,Vehicle_ID,Frame_ID,Tot_Frames,Epoch_ms,Local_X,Local_Y,Global_X,Global_Y,Veh_Len,Veh_Wid,Veh_Class,Veh_Velocity,Vehicle_Acc,Lane_ID,Org_Zone,Dest_Zone,Intersection,Section,Direction,Movement,Preceding_Veh,Following_Veh,Spacing,Headway
238699,826,5213,983,1163551600,21.526,143.726,2230538.049,1375673.019,16.0,7.0,2,10.82,11.25,0,101,214,1,0,2,1,0,0,0.0,0.0
238869,826,5383,983,1163568600,15.012,651.085,2230584.699,1376178.7119999998,16.0,7.0,2,32.96,-6.31,0,101,214,2,0,2,1,0,0,0.0,0.0
239016,826,5530,983,1163583300,24.584,1189.039,2230831.636,1376645.195,16.0,7.0,2,38.09,4.24,0,101,214,3,0,2,1,0,0,0.0,0.0
239114,826,5628,983,1163593100,30.246,1591.236,2230864.486,1377052.354,16.0,7.0,2,36.39,12.27,0,101,214,4,0,2,1,0,0,0.0,0.0
239291,826,5805,983,1163610800,25.42,1970.2920000000001,2230830.18,1377433.4219999998,16.0,7.0,2,29.22,3.44,0,101,214,5,0,2,1,0,0,0.0,0.0
239328,831,4885,1366,1163518800,-18.602999999999998,2056.737,2230773.5609999998,1377512.4740000002,17.5,6.5,2,36.82,0.0,2,114,201,5,0,4,1,813,0,188.67,5.12
239437,831,4994,1366,1163529700,-12.867,1649.257,2230820.425,1377109.926,17.5,6.5,2,37.0,-0.96,0,114,201,4,0,4,1,0,0,0.0,0.0
239569,831,5126,1366,1163542900,-25.721,1244.248,2230803.659,1376712.021,17.5,6.5,2,47.46,10.02,0,114,201,3,0,4,1,0,0,0.0,0.0
239891,831,5448,1366,1163575100,-11.049000000000001,776.694,2230582.078,1376307.9919999999,17.5,6.5,2,17.73,12.27,0,114,201,2,0,4,1,0,0,0.0,0.0
240654,831,6211,1366,1163651400,-12.196,234.08700000000002,2230520.6980000003,1375767.783,17.5,6.5,2,26.39,-7.03,0,114,201,1,0,4,1,0,0,0.0,0.0
241750,842,4966,1276,1163526900,-10.679,2053.774,2230781.845,1377510.7580000001,16.5,6.5,2,48.35,0.0,1,114,201,5,0,4,1,763,0,700.13,14.48
241832,842,5048,1276,1163535100,-4.953,1649.692,2230828.331,1377110.544,16.5,6.5,2,48.11,3.47,0,114,201,4,0,4,1,0,0,0.0,0.0
241916,842,5132,1276,1163543500,-16.442,1238.401,2230812.239,1376705.101,16.5,6.5,2,51.35,-10.02,0,114,201,3,0,4,1,0,0,0.0,0.0
242209,842,5425,1276,1163572800,-12.024000000000001,777.225,2230581.518,1376309.0569999998,16.5,6.5,2,16.15,-2.53,0,114,201,2,0,4,1,0,0,0.0,0.0
242394,842,5610,1276,1163591300,-13.545,234.317,2230519.474,1375768.6,16.5,6.5,2,2.82,-0.58,0,114,201,1,0,4,1,0,0,0.0,0.0
243279,846,5241,872,1163554400,23.454,144.371,2230540.079,1375673.493,16.5,7.0,2,16.88,-12.17,0,101,214,1,0,2,1,0,0,0.0,0.0
243446,846,5408,872,1163571100,15.222999999999999,648.3290000000001,2230584.486,1376176.227,16.5,7.0,2,36.48,2.04,0,101,214,2,0,2,1,0,0,0.0,0.0
243585,846,5547,872,1163585000,25.335,1188.401,2230832.191,1376644.274,16.5,7.0,2,38.68,-2.36,0,101,214,3,0,2,1,0,0,0.0,0.0
243680,846,5642,872,1163594500,28.76,1587.7120000000002,2230863.066,1377049.0480000002,16.5,7.0,2,35.07,-9.61,0,101,214,4,0,2,1,0,0,0.0,0.0
243860,846,5822,872,1163612500,26.469,1970.27,2230831.228,1377433.52,16.5,7.0,2,25.9,-0.3,0,101,214,5,0,2,1,0,0,0.0,0.0
244503,860,5259,784,1163556200,25.109,144.246,2230541.759,1375673.455,15.5,7.0,2,26.41,-11.2,0,101,214,1,0,2,1,0,0,0.0,0.0
244666,860,5422,784,1163572500,15.386,650.861,2230585.027,1376178.428,15.5,7.0,2,31.38,-6.5,0,101,214,2,0,2,1,0,0,0.0,0.0
244802,860,5558,784,1163586100,24.804000000000002,1187.1689999999999,2230831.0930000003,1376643.42,15.5,7.0,2,40.32,-6.96,0,101,214,3,0,2,1,0,0,0.0,0.0
244900,860,5656,784,1163595900,28.8,1589.2320000000002,2230863.0840000003,1377050.409,15.5,7.0,2,33.89,12.27,0,101,214,4,0,2,1,0,0,0.0,0.0
245057,860,5813,784,1163611600,17.285999999999998,1975.665,2230821.389,1377437.594,15.5,7.0,2,31.03,2.32,0,101,214,5,0,2,1,0,0,0.0,0.0
245303,862,5275,1631,1163557800,10.949000000000002,142.881,2230527.519,1375674.3490000002,15.5,7.0,2,26.92,-11.49,0,101,214,1,0,2,1,0,0,0.0,0.0
245531,862,5503,1631,1163580600,5.724,649.323,2230575.227,1376178.565,15.5,7.0,2,15.18,-0.94,0,101,214,2,0,2,1,0,0,0.0,0.0
245958,862,5930,1631,1163623300,13.7,1182.445,2230819.006,1376643.3069999998,15.5,7.0,2,0.09,0.0,0,101,214,3,0,2,1,0,0,0.0,0.0
246149,862,6121,1631,1163642400,21.44,1589.585,2230855.692,1377050.781,15.5,7.0,2,26.51,12.27,0,101,214,4,0,2,1,0,0,0.0,0.0
246673,862,6645,1631,1163694800,14.908,1976.085,2230819.005,1377437.483,15.5,7.0,2,13.91,11.2,0,101,214,5,0,2,1,0,0,0.0,0.0
250786,903,5292,1464,1163559500,13.432,142.015,2230529.836,1375673.101,14.5,7.0,2,30.66,-10.02,0,101,214,1,0,2,1,0,0,0.0,0.0
251024,903,5530,1464,1163583300,5.905,649.095,2230575.367,1376178.3090000001,14.5,7.0,2,15.88,-0.93,0,101,214,2,0,2,1,0,0,0.0,0.0
251475,903,5981,1464,1163628400,13.854000000000001,1182.734,2230819.266,1376643.529,14.5,7.0,2,14.22,2.31,0,101,214,3,0,2,1,0,0,0.0,0.0
251632,903,6138,1464,1163644100,19.757,1587.425,2230854.036,1377048.5380000002,14.5,7.0,2,27.12,12.27,0,101,214,4,0,2,1,0,0,0.0,0.0
252161,903,6667,1464,1163697000,16.25,1975.94,2230820.3230000003,1377437.705,14.5,7.0,2,22.22,-2.0,0,101,214,5,0,2,1,0,0,0.0,0.0
252450,909,5319,1386,1163562200,11.629000000000001,143.437,2230528.293,1375674.769,16.6,7.0,2,28.81,-11.2,0,101,214,1,0,2,1,0,0,0.0,0.0
252652,909,5521,1386,1163582400,14.71,649.873,2230584.1859999998,1376177.571,16.6,7.0,2,25.02,-5.87,0,101,214,2,0,2,1,0,0,0.0,0.0
253084,909,5953,1386,1163625600,23.423000000000002,1185.241,2230829.047,1376642.091,16.6,7.0,2,8.27,11.27,0,101,214,3,0,2,1,0,0,0.0,0.0
253216,909,6085,1386,1163638800,23.156999999999996,1587.9489999999998,2230857.3680000002,1377049.1709999999,16.6,7.0,2,40.0,4.87,0,101,214,4,0,2,1,0,0,0.0,0.0
